,Unnamed: 0,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts,team_switch,fullName,diff
73,0,20212022,New York Islanders,National Hockey League,1,0,1,0.0,6,0.0,-1.0,1,6.0,0.0,16.7,0.0,0.0,59:55,11.0,0.0,00:00,59:42,52.94,0.0,0.0,00:13,1.0,81.0,True,Andy Andreoff,1.0
74,0,20162017,Buffalo Sabres,National Hockey League,1,3,5,21.0,41,21.0,-1.0,8,50.0,0.0,10.0,1.0,0.0,369:02,112.0,0.0,00:11,366:27,50.0,0.0,0.0,02:24,10.0,583.0,False,William Carrier,
75,0,20172018,Vegas Golden Knights,National Hockey League,1,2,1,19.0,37,19.0,-3.0,3,52.0,0.0,1.92,0.0,0.0,327:07,113.0,0.0,03:50,322:38,0.0,0.0,0.0,00:39,10.0,455.0,True,William Carrier,-4.0
76,0,20202021,Detroit Red Wings,National Hockey League,1,10,11,17.0,42,17.0,-14.0,21,100.0,2.0,11.0,0.0,0.0,766:23,34.0,2.0,105:48,655:31,48.39,0.0,0.0,05:04,20.0,876.0,False,Anthony Mantha,
77,0,20202021,Washington Capitals,National Hockey League,2,4,4,8.0,14,8.0,0.0,8,38.0,1.0,10.5,0.0,0.0,248:33,15.0,2.0,32:40,215:48,30.0,0.0,0.0,00:05,7.0,282.0,True,Anthony Mantha,-7.0
78,0,20152016,Chicago Blackhawks,National Hockey League,1,4,1,6.0,30,6.0,-3.0,5,48.0,0.0,2.08,1.0,0.0,385:25,33.0,0.0,02:01,370:24,44.17,0.0,0.0,13:00,17.0,576.0,False,Phillip Danault,
79,0,20152016,Montréal Canadiens,National Hockey League,2,2,3,8.0,21,8.0,-2.0,5,24.0,0.0,12.5,0.0,0.0,265:12,12.0,0.0,03:22,239:53,56.0,0.0,0.0,21:57,11.0,410.0,True,Phillip Danault,2.0
80,0,20202021,Montréal Canadiens,National Hockey League,1,19,5,24.0,53,24.0,9.0,24,73.0,0.0,6.8,0.0,0.0,894:05,76.0,0.0,17:11,755:32,52.48,0.0,1.0,121:22,28.0,1259.0,False,Phillip Danault,
81,0,20212022,Los Angeles Kings,National Hockey League,1,24,27,38.0,79,38.0,14.0,51,194.0,2.0,13.9,5.0,0.0,1431:56,74.0,4.0,161:47,1135:33,53.57,0.0,3.0,134:36,49.0,1905.0,True,Phillip Danault,22.0
82,0,20182019,Los Angeles Kings,National Hockey League,1,1,2,2.0,13,2.0,0.0,3,17.0,0.0,11.76,0.0,0.0,129:00,23.0,0.0,03:50,125:07,50.0,0.0,0.0,00:03,7.0,176.0,False,Jonny Brodzinski,
83,0,20192020,San Jose Sharks,National Hockey League,1,1,0,0.0,3,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,22:12,3.0,0.0,01:16,20:56,0.0,0.0,0.0,00:00,0.0,35.0,True,Jonny Brodzinski,-2.0
84,0,20192020,San Jose Sharks,National Hockey League,1,1,0,0.0,3,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,22:12,3.0,0.0,01:16,20:56,0.0,0.0,0.0,00:00,0.0,35.0,False,Jonny Brodzinski,
85,0,20202021,New York Rangers,National Hockey League,1,0,1,4.0,5,4.0,0.0,1,7.0,0.0,14.3,0.0,0.0,56:40,4.0,0.0,01:34,55:06,0.0,0.0,0.0,00:00,2.0,91.0,True,Jonny Brodzinski,1.0
86,0,20162017,Washington Capitals,National Hockey League,1,1,2,6.0,26,6.0,0.0,3,23.0,0.0,8.7,1.0,0.0,263:48,18.0,0.0,00:03,253:57,55.56,0.0,0.0,09:48,10.0,376.0,False,Zach Sanford,
